"movie_title","director_name","duration","actor_1_name","actor_2_name","actor_3_name","language","gross","budget","movie_facebook_likes","country","imdb_score","plot_keywords","genres_1","genres_2","genres_3","profit","returnOnInvesement"
"Arthur ",NA,30,"Bruce Dinsmore","Melissa Altro","Daniel Brochu","English",25517500,2e+07,301,"Canada",7.4,"based on children's book|best friend|character name in title|friend|one word title","Animation","Comedy","Family",5517500,27.5875
"Drillbit Taylor ","Steven Brill",102,"Lisa Ann Walter","Shaun Weiss","Matt Walsh","English",32853640,4e+07,702,"USA",5.7,"bodyguard|bully|generation y|high school|nerd","Comedy","Drama",NA,-7146360,-17.8659
"A Million Ways to Die in the West ","Seth MacFarlane",136,"Liam Neeson","Charlize Theron","Seth MacFarlane","English",42615685,4e+07,24000,"USA",6.1,"dancing sheep|fetish|musical scene|racial humor|snake poison","Comedy","Western",NA,2615685,6.5392125
"The Shadow ","Russell Mulcahy",93,"Jonathan Winters","Peter Boyle","John Kapelos","English",32055248,2.5e+07,0,"USA",6,"1930s|bomb|city|invisibility|the shadow","Action","Adventure","Crime",7055248,28.220992
"Extremely Loud & Incredibly Close ","Stephen Daldry",129,"Tom Hanks","Thomas Horn","Stephen Henderson","English",31836745,4e+07,39000,"USA",6.9,"fear|mourning|mute|quest|revelation","Adventure","Drama","Mystery",-8163255,-20.4081375
"Morning Glory ","Roger Michell",107,"Noah Bean","Patti D'Arbanville","Vanessa Aspillaga","English",30993544,4e+07,0,"USA",6.5,"job offer|roller coaster|slow motion action scene|slow motion sequence|television","Comedy","Drama","Romance",-9006456,-22.51614
"Get Rich or Die Tryin' ","Jim Sheridan",117,"50 Cent","Bill Duke","Marc John Jefferies","English",30981850,4e+07,0,"USA",5,"male frontal nudity|male pubic hair|prison|pubic hair|violence","Biography","Crime","Drama",-9018150,-22.545375
"The Art of War ","Christian Duguay",116,"Michael Biehn","Cary-Hiroyuki Tagawa","Anne Archer","English",30199105,4e+07,470,"USA",5.7,"blood splatter|fbi|murder|secretary general|united nations","Action","Adventure","Crime",-9800895,-24.5022375
"Rent ","Chris Columbus",135,"Rosario Dawson","David Fine","Jesse L. Martin","English",29077547,4e+07,3000,"USA",7,"aids|hiv positive|lawyer|new york city|roommate","Drama","Musical","Romance",-10922453,-27.3061325
"Bless the Child ","Chuck Russell",107,"Rufus Sewell","Jimmy Smits","Angela Bettis","English",29374178,4e+07,394,"USA",5.1,"easter|fbi|luminol|nurse|omen","Crime","Drama","Horror",-10625822,-26.564555
"The Out-of-Towners ","Sam Weisman",90,"Oliver Hudson","Valerie Perri","Carlease Burke","English",28535768,4e+07,279,"USA",5.3,"job interview|manhattan new york city|new york city|remake|sausage","Comedy",NA,NA,-11464232,-28.66058
"The Island of Dr. Moreau ","John Frankenheimer",99,"Marlon Brando","Temuera Morrison","Marco Hofschneider","English",27663982,4e+07,0,"USA",4.4,"animal experimentation|chimera|island|jungle|mutant","Horror","Sci-Fi","Thriller",-12336018,-30.840045
"The Musketeer ","Peter Hyams",104,"Catherine Deneuve","Justin Chambers","Stephen Rea","English",27053815,4e+07,299,"Germany",4.7,"guard|king|murder|musketeer|swordsman","Action","Adventure","Romance",-12946185,-32.3654625
"The Other Boleyn Girl ","Justin Chadwick",115,"Natalie Portman","Scarlett Johansson","Benedict Cumberbatch","English",26814957,3.5e+07,0,"UK",6.7,"children|court|king|king henry viii|love","Biography","Drama","History",-8185043,-23.3858371428571
"Sweet November ","Pat O'Connor",119,"Keanu Reeves","Charlize Theron","Frank Langella","English",25178165,4e+07,8000,"USA",6.7,"advertising|cancer|dog|san francisco california|terminal illness","Drama","Romance",NA,-14821835,-37.0545875
"The Reaping ","Stephen Hopkins",99,"Stephen Rea","Andrea Frankle","William Ragsdale","English",25117498,4e+07,0,"USA",5.7,"biblical plague|louisiana|missionary|plague|small town","Horror","Thriller",NA,-14882502,-37.206255
"Mean Streets ","Martin Scorsese",112,"Robert De Niro","David Carradine","David Proval","English",32645,5e+05,0,"USA",7.4,"bar|catholic guilt|epilepsy|italian american|money","Crime","Drama","Romance",-467355,-93.471
"Renaissance Man ","Penny Marshall",128,"Ed Begley Jr.","Cliff Robertson","Lillo Brancato","English",24332324,4e+07,680,"USA",6.1,"army|basic training|reference to shakespeare's hamlet|teacher|u.s. army","Comedy","Drama",NA,-15667676,-39.16919
"Colombiana ","Olivier Megaton",112,"Jordi Mollà","Callum Blue","Jesse Borrego","English",36665854,4e+07,15000,"France",6.4,"female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt","Action","Crime","Drama",-3334146,-8.335365
"The Magic Sword: Quest for Camelot ","Frederik Du Chau",86,"Gary Oldman","Jaleel White","Eric Idle","English",22717758,4e+07,0,"USA",6.2,"camelot|dragon|excalibur|knight|sword","Adventure","Animation","Comedy",-17282242,-43.205605
"City by the Sea ","Michael Caton-Jones",108,"Robert De Niro","James Franco","John Doman","English",22433915,6e+07,416,"USA",6.2,"beach|grandson|murder|new york city|police","Crime","Drama","Mystery",-37566085,-62.6101416666667
"At First Sight ","Irwin Winkler",128,"Mira Sorvino","Nathan Lane","Steven Weber","English",22326247,6e+07,0,"USA",5.9,"based on article|blindness|box office flop|massage therapist|regaining sight","Drama","Romance",NA,-37673753,-62.7895883333333
"Torque ","Joseph Kahn",84,"Dane Cook","Jay Hernandez","Christina Milian","English",21176322,4e+07,0,"USA",4,"murder|on the run|security camera|surveillance footage|timebomb","Action","Comedy","Crime",-18823678,-47.059195
"City Hall ","Harold Becker",111,"Al Pacino","Martin Landau","Bridget Fonda","English",20300000,4e+07,309,"USA",6.2,"drug dealer|mayor|new york city|probation|scandal","Drama","Thriller",NA,-19700000,-49.25
"Showgirls ","Paul Verhoeven",131,"Bobbie Phillips","Elizabeth Berkley","Robert Davi","English",20302961,4.5e+07,0,"France",4.6,"cult film|lap dance|lap dancing|stripper|striptease","Drama",NA,NA,-24697039,-54.8823088888889
"Marie Antoinette ","Sofia Coppola",123,"Kirsten Dunst","Shirley Henderson","Rip Torn","English",15962471,4e+07,0,"USA",6.4,"austria|cake|france|queen|versailles","Biography","Drama","History",-24037529,-60.0938225
"Kiss of Death ","Barbet Schroeder",101,"Nicolas Cage","Michael Rapaport","Philip Baker Hall","English",14942422,4e+07,555,"USA",5.9,"beard|female nudity|police brutality|stripper|woman in lingerie","Action","Crime","Thriller",-25057578,-62.643945
"Get Carter ","Stephen Kay",102,"Sylvester Stallone","Miranda Richardson","Lauren Lee Smith","English",14967182,4e+07,604,"USA",5.1,"affair|car crash|enforcer|funeral|murder","Action","Crime","Drama",-25032818,-62.582045
"The Impossible ","J.A. Bayona",114,"Naomi Watts","Geraldine Chaplin","Oaklee Pendergast","English",18996755,4.5e+07,54000,"Spain",7.6,"christmas|resort|thailand|tourist|tsunami","Drama","Thriller",NA,-26003245,-57.7849888888889
"Ishtar ","Elaine May",107,"Carol Kane","Warren Beatty","Isabelle Adjani","English",14375181,5.1e+07,754,"USA",4.2,"cia|emir|hotel|map|morocco","Action","Adventure","Comedy",-36624819,-71.8133705882353
"Fantastic Mr. Fox ","Wes Anderson",87,"Bill Murray","Meryl Streep","Helen McCrory","English",20999103,4e+07,15000,"USA",7.8,"cider|farm|farmer|fox|tale","Adventure","Animation","Comedy",-19000897,-47.5022425
"Life or Something Like It ","Stephen Herek",103,"Angelina Jolie Pitt","Stockard Channing","James Gammon","English",14448589,4e+07,835,"USA",5.8,"football|homeless man|interview|psychic|reporter","Comedy","Romance",NA,-25551411,-63.8785275
"Memoirs of an Invisible Man ","John Carpenter",99,"Richard Epcar","Michael McKean","Patricia Heaton","English",14358033,4e+07,630,"USA",5.9,"accident|bar|chase|cia|laboratory","Comedy","Romance","Sci-Fi",-25641967,-64.1049175
"Amélie ","Jean-Pierre Jeunet",122,"Mathieu Kassovitz","Jamel Debbouze","Isabelle Nanty","French",33201661,7.7e+07,39000,"France",8.4,"cheerfulness|female protagonist|garden gnome|magical realism|waitress","Comedy","Romance",NA,-43798339,-56.8809597402597
"New York Minute ","Dennie Gordon",91,"Mary-Kate Olsen","Bob Saget","Riley Smith","English",14018364,3e+07,849,"USA",4.8,"dog|new york city|scholarship|senator|twin","Comedy","Crime","Family",-15981636,-53.27212
"Alfie ","Charles Shyer",103,"Omar Epps","Nia Long","Jane Krakowski","English",13395939,6e+07,0,"UK",6.2,"best friend|commitment|friend|limousine driver|one night stand","Comedy","Drama","Romance",-46604061,-77.673435
"Big Miracle ","Ken Kwapis",107,"Ted Danson","Tim Blake Nelson","Andrew Daly","English",20113965,4e+07,0,"USA",6.5,"arctic circle|reporter|small town|volunteer|whale","Biography","Drama","Romance",-19886035,-49.7150875
"The Deep End of the Ocean ","Ulu Grosbard",106,"Alexa PenaVega","Treat Williams","Jonathan Jackson","English",13376506,4e+07,579,"USA",6.3,"basketball|boy|italian|kidnapping a child|reunion","Drama",NA,NA,-26623494,-66.558735
"Feardotcom ","William Malone",101,"Natascha McElhone","Jeffrey Combs","Udo Kier","English",13208023,4.2e+07,612,"UK",3.3,"bondage gear|bound and gagged|hung by one's wrists|tied to a chair|tied to a table","Crime","Horror","Thriller",-28791977,-68.5523261904762
"Cirque du Freak: The Vampire's Assistant ","Paul Weitz",109,"Josh Hutcherson","Salma Hayek","Patrick Fugit","English",13838130,4e+07,0,"USA",5.9,"antidote|based on young adult novel|flyer|spider|vampire","Action","Adventure","Fantasy",-26161870,-65.404675
"Victor Frankenstein ","Paul McGuigan",110,"Daniel Radcliffe","Spencer Wilding","Daniel Mays","English",5773519,4e+07,11000,"USA",6,"assistant|experiment|frankenstein|medical student|scientist","Drama","Horror","Sci-Fi",-34226481,-85.5662025
"Duplex ","Danny DeVito",89,"Justin Theroux","Amber Valletta","Harvey Fierstein","English",9652000,4e+07,0,"USA",5.8,"christmas|duplex|television|tenant|writer","Comedy",NA,NA,-30348000,-75.87
"Soul Men ","Malcolm D. Lee",100,"Bernie Mac","Sean Hayes","Mike Epps","English",12081447,2e+07,866,"USA",6.5,"band|masturbation|reunion|singer|tribute","Comedy","Drama","Music",-7918553,-39.592765
"Raise the Titanic ","Jerry Jameson",119,"M. Emmet Walsh","Jason Robards","Anne Archer","English",7e+06,3.6e+07,328,"UK",4.7,"military|mineral|ocean|ship|titanic","Action","Adventure","Drama",-2.9e+07,-80.5555555555556
"Universal Soldier: The Return ","Mic Rodgers",83,"Michael Jai White","Daniel von Bargen","Xander Berkeley","English",10431220,2.4e+07,401,"USA",4.1,"combat|computer|general|military|reporter","Action","Sci-Fi",NA,-13568780,-56.5365833333333
"Pandorum ","Christian Alvart",108,"Norman Reedus","Dennis Quaid","Eddie Rouse","English",10326062,3.3e+07,10000,"Germany",6.8,"future|mission|space|spaceship|survival","Action","Horror","Mystery",-22673938,-68.708903030303
"Impostor ","Gary Fleder",102,"Gary Dourdan","Mekhi Phifer","Tim Guinee","English",6114237,4e+07,892,"USA",6.2,"alien|android|bomb|future|weapon","Drama","Mystery","Sci-Fi",-33885763,-84.7144075
"Extreme Ops ","Christian Duguay",93,"Rufus Sewell","Bridgette Wilson-Sampras","Rupert Graves","English",4835968,4e+07,158,"UK",4.5,"commercial|extreme sports|mountain|serbian|terrorist","Action","Adventure","Thriller",-35164032,-87.91008
"Just Visiting ","Jean-Marie Poiré",84,"Bridgette Wilson-Sampras","Matt Ross","John Aylward","English",4777007,4e+07,565,"France",5.8,"alternate history|alternate timeline|flatulence|future time travel|time travel comedy","Comedy","Fantasy","Sci-Fi",-35222993,-88.0574825
"Sunshine ","Danny Boyle",107,"Chris Evans","Benedict Wong","Troy Garity","English",3675072,2.6e+07,15000,"UK",7.3,"astronaut|earth|future|icarus|sun","Adventure","Sci-Fi","Thriller",-22324928,-85.8651076923077
"A Thousand Words ","Brian Robbins",91,"John Gatins","Lou Saliba","Greg Collins","English",18438149,4e+07,0,"USA",5.9,"box office flop|buddhist|liar|literary agent|magical tree","Comedy","Drama",NA,-21561851,-53.9046275
"Delgo ","Marc F. Adler",94,"Eric Idle","Anne Bancroft","Kelly Ripa","English",511920,4e+07,211,"USA",4.4,"box office flop|computer animation|one word title|surrealism|villainess","Adventure","Animation","Comedy",-39488080,-98.7202
"The Gunman ","Pierre Morel",115,"Ray Winstone","Mark Rylance","Jasmine Trinca","English",10640645,4e+07,0,"USA",5.8,"assassination|blood vomiting|death|hit squad|mercenary","Action","Crime","Drama",-29359355,-73.3983875
"Alex Rider: Operation Stormbreaker ","Geoffrey Sax",93,"Alex Pettyfer","Sophie Okonedo","Ashley Walters","English",652526,4e+07,823,"Germany",5.1,"14 year old|british|gadget|spy|training","Action","Adventure","Family",-39347474,-98.368685
"Disturbia ","D.J. Caruso",105,"Sarah Roemer","Aaron Yoo","Jose Pablo Cantillo","English",80050171,2e+07,0,"USA",6.9,"binoculars|electronic tag|house arrest|neighbor|watching someone","Drama","Mystery","Thriller",60050171,300.250855
"Hackers ","Iain Softley",107,"Angelina Jolie Pitt","Fisher Stevens","Lorraine Bracco","English",7564000,2e+07,12000,"USA",6.2,"computer|computer virus|cyberpunk|fight the system|sexual fantasy","Comedy","Crime","Drama",-12436000,-62.18
"The Hunting Party ","Richard Shepard",101,"James Brolin","Zan Marolt","Ljubomir Kerekes","English",876671,2.5e+07,0,"USA",6.9,"bosnia|cia|fox|hunt|war criminal","Adventure","Comedy","Drama",-24123329,-96.493316
"The Hudsucker Proxy ","Joel Coen",111,"Jennifer Jason Leigh","Bill Cobbs","John Mahoney","English",2869369,3e+07,0,"UK",7.3,"art deco|board of directors|industry|mail|stock","Comedy","Fantasy",NA,-27130631,-90.4354366666667
"The Warlords ","Peter Ho-Sun Chan",113,"Jet Li","Takeshi Kaneshiro","Andy Lau","Mandarin",128978,4e+07,0,"Hong Kong",7.1,"assassination|blood brother|dynasty|general|stabbing a woman","Action","Drama","History",-39871022,-99.677555
"Nomad: The Warrior ","Sergey Bodrov",112,"Jay Hernandez","Kuno Becker","Jason Scott Lee","Kazakh",77231,2.5e+07,265,"France",6,"1800s|kazakhstan|nomad","Drama","History","War",-24922769,-99.691076
"Snowpiercer ","Joon-ho Bong",126,"Chris Evans","Ewen Bremner","Kang-ho Song","English",4563029,39200000,58000,"South Korea",7,"closed ecological system|perpetual winter|population control|revolt|train","Action","Drama","Sci-Fi",-34636971,-88.3596198979592
"A Monster in Paris ","Bibo Bergeron",90,"Adam Goldberg","Bob Balaban","François Cluzet","French",25517500,2.5e+07,0,"France",6.8,"belle epoque|city name in title|monster|paris france","Adventure","Animation","Comedy",517500,2.07
"The Last Shot ","Jeff Nathanson",93,"Matthew Broderick","Glenn Morshower","Tim Blake Nelson","English",463730,2e+07,89,"USA",5.7,"fbi|movie producer|sting operation|undercover|urination","Comedy",NA,NA,-19536270,-97.68135
"The Crow ","Alex Proyas",98,"Michael Wincott","Bai Ling","David Patrick Kelly","English",50693162,2.3e+07,15000,"USA",7.6,"back from the dead|crime boss|crow|gothic|vigilante","Action","Drama","Fantasy",27693162,120.405052173913
"Baahubali: The Beginning ","S.S. Rajamouli",159,"Tamannaah Bhatia","Anushka Shetty","Prabhas","Telugu",6498000,18026148,21000,"India",8.4,"ancient india|dual role|good versus evil|hindu|kingdom","Action","Adventure","Drama",-11528148,-63.9523651974898
"The Time Traveler's Wife ","Robert Schwentke",107,"Arliss Howard","Brooklynn Proulx","Michelle Nolden","English",63411478,3.9e+07,13000,"USA",7.1,"jumping on a bed|kissing while having sex|librarian|male objectification|pregnant woman in bathtub","Drama","Fantasy","Romance",24411478,62.5935333333333
"Because I Said So ","Michael Lehmann",102,"Colin Ferguson","Stephen Collins","Tom Everett Scott","English",42640890,2e+07,0,"USA",5.6,"meddling|psychologist|sobbing female|subtitled scene|you can say that again joke","Comedy","Romance",NA,22640890,113.20445
"The Fast and the Furious ","Rob Cohen",106,"Paul Walker","Vin Diesel","Jordana Brewster","English",144512310,3.8e+07,14000,"USA",6.7,"eighteen wheeler|illegal street racing|truck|trucker|undercover cop","Action","Crime","Thriller",106512310,280.295552631579
"Frankenweenie ","Tim Burton",87,"Martin Landau","Catherine O'Hara","Atticus Shaffer","English",35287788,3.9e+07,25000,"USA",7,"dog|life|remake by original director|science|stop motion animation","Animation","Comedy","Family",-3712212,-9.51849230769231
"Serenity ","Joss Whedon",119,"Adam Baldwin","Sean Maher","Michael Hitchcock","English",25335935,4e+07,14000,"USA",8,"alliance|cannibalism|future|operative|planet","Action","Adventure","Sci-Fi",-14664065,-36.6601625
"Against the Ropes ","Charles S. Dutton",110,"Omar Epps","Charles S. Dutton","Tim Daly","English",5881504,3.9e+07,177,"USA",5.3,"boxer|boxing|boxing arena|boxing manager|directed by co star","Biography","Drama","Romance",-33118496,-84.9192205128205
"Superman III ","Richard Lester",125,"Margot Kidder","Robert Vaughn","Jackie Cooper","English",6e+07,3.9e+07,0,"UK",4.9,"computer|high school|kryptonite|smallville|villain","Action","Comedy","Sci-Fi",2.1e+07,53.8461538461538
"Grudge Match ","Peter Segal",113,"Robert De Niro","Sylvester Stallone","Oscar Gale","English",29802761,4e+07,12000,"USA",6.4,"broke|promoter|retirement|trainer|training","Comedy","Sport",NA,-10197239,-25.4930975
"Red Cliff ","John Woo",150,"Takeshi Kaneshiro","Tony Chiu Wai Leung","Wei Zhao","Mandarin",626809,553632000,0,"China",7.4,"alliance|battle|china|chinese|strategy","Action","Adventure","Drama",-553005191,-99.8867823752962
"Sweet Home Alabama ","Andy Tennant",108,"Ethan Embry","Mary Lynn Rajskub","Courtney Gains","English",127214072,3.8e+07,0,"USA",6.1,"alabama|divorce|divorce papers|husband wife relationship|new york city","Comedy","Romance",NA,89214072,234.773873684211
"The Ugly Truth ","Robert Luketic",96,"Gerard Butler","John Michael Higgins","Eric Winter","English",88915214,3.8e+07,9000,"USA",6.5,"call in|chick flick|date|hot air balloon|show producer","Comedy","Romance",NA,50915214,133.987405263158
"Sgt. Bilko ","Jonathan Lynn",93,"Austin Pendleton","Phil Hartman","Max Casella","English",30400000,3.9e+07,478,"USA",5.7,"greenland|military|revenge|soldier|u.s. soldier","Comedy",NA,NA,-8600000,-22.0512820512821
"Spy Kids 2: Island of Lost Dreams ","Robert Rodriguez",100,"Steve Buscemi","Alexa PenaVega","Emily Osment","English",85570368,3.8e+07,478,"USA",5.1,"island|mad scientist|scientist|sequel|spy","Action","Adventure","Comedy",47570368,125.185178947368
"Star Trek: Generations ","David Carson",118,"LeVar Burton","Alan Ruck","Jonathan Frakes","English",75668868,3.5e+07,0,"USA",6.6,"23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice","Action","Adventure","Mystery",40668868,116.196765714286
"The Grandmaster ","Kar-Wai Wong",122,"Tony Chiu Wai Leung","Hye-kyo Song","Elvis Tsui","Mandarin",6594136,38600000,13000,"Hong Kong",6.5,"challenge|china|hong kong|martial arts|martial arts master","Action","Biography","Drama",-32005864,-82.9167461139896
"Water for Elephants ","Francis Lawrence",120,"Robert Pattinson","Christoph Waltz","James Frain","English",58700247,3.8e+07,33000,"USA",6.9,"circus|circus vargas|elephant|fear|train","Drama","Romance",NA,20700247,54.4743342105263
"3rd Rock from the Sun ",NA,60,"Joseph Gordon-Levitt","Wayne Knight","Kristen Johnston","English",25517500,2e+07,0,"USA",7.8,"alien|digit in title|human form|number 3 in title|talking on a rooftop","Comedy","Family","Sci-Fi",5517500,27.5875
"Dragon Nest: Warriors' Dawn ","Yuefeng Song",88,"Blythe Auffarth","Bianca Collins","Jiao Xu","English",25517500,4e+07,0,"China",6.4,NA,"Adventure","Animation","Family",-14482500,-36.20625
"The Hurricane ","Norman Jewison",146,"Denzel Washington","Vincent Pastore","Deborah Kara Unger","English",50668906,3.8e+07,0,"USA",7.6,"african american|book|boxer|boxing|murder","Biography","Drama","Sport",12668906,33.3392263157895
"Enough ","Michael Apted",115,"Bill Cobbs","Jeff Kober","Billy Campbell","English",39177215,3.8e+07,0,"USA",5.6,"abusive husband|escape|intimate partner homicide|marriage|woman wearing only a man's shirt","Crime","Drama","Thriller",1177215,3.09793421052632
"Heartbreakers ","David Mirkin",123,"Sarah Silverman","Anne Bancroft","Jeffrey Jones","English",40334024,3.5e+07,989,"USA",6.2,"bank|infidelity|millionaire|money|scam","Comedy","Crime","Romance",5334024,15.2400685714286
"Paul Blart: Mall Cop 2 ","Andy Fickman",94,"D.B. Woodside","Daniella Alonso","Eduardo Verástegui","English",71038190,3e+07,8000,"USA",4.4,"character name in title|no opening credits|sequel|wilhelm scream","Action","Comedy","Crime",41038190,136.793966666667
"Angel Eyes ","Luis Mandoki",102,"Sonia Braga","Shirley Knight","Kari Matchett","English",24044532,3.8e+07,689,"USA",5.6,"apartment|fate|gun|love|mysterious man","Drama","Romance",NA,-13955468,-36.7249157894737
"Joe Somebody ","John Pasquin",98,"Jim Belushi","Ken Marino","Kelly Lynch","English",22770864,3.8e+07,168,"USA",5.5,"bully|co worker|divorce|fight|karate","Comedy","Drama",NA,-15229136,-40.0766736842105
"The Ninth Gate ","Roman Polanski",133,"Johnny Depp","Frank Langella","Lena Olin","English",18653746,3.8e+07,0,"Spain",6.7,"bare butt|gnosticism|lucifer|rare book|sex","Mystery","Thriller",NA,-19346254,-50.9111947368421
"Extreme Measures ","Michael Apted",118,"J.K. Simmons","Paul Guilfoyle","Bill Nunn","English",17305211,3.8e+07,352,"USA",6.1,"cartoon on tv|doctor|emergency room|hospital|nudity","Crime","Drama","Mystery",-20694789,-54.4599710526316
"Rock Star ","Stephen Herek",105,"Beth Grant","Dagmara Dominczyk","Matthew Glave","English",16991902,5.7e+07,0,"USA",6.2,"cover band|fired from a job|heavy metal|rock star|tribute band","Drama","Music",NA,-40008098,-70.1896456140351
"Precious ","Lee Daniels",109,"Mo'Nique","Gabourey Sidibe","Mariah Carey","English",47536959,1e+07,12000,"USA",7.3,"abuse|african american lesbian|lesbian|lesbian couple|school","Drama",NA,NA,37536959,375.36959
"White Squall ","Ridley Scott",129,"Jeff Bridges","Jason Marsden","Ethan Embry","English",10300000,3.8e+07,911,"USA",6.6,"acrophobia|jamaica|male bonding|prostitute|tragedy","Adventure","Drama",NA,-27700000,-72.8947368421053
"The Thing ","John Carpenter",109,"Wilford Brimley","Richard Masur","David Clennon","English",13782838,1.5e+07,23000,"USA",8.2,"alien creature|alien life form|antarctica|isolation|paranoia","Horror","Mystery","Sci-Fi",-1217162,-8.11441333333333
"Riddick ","David Twohy",127,"Vin Diesel","Nolan Gerard Funk","Bokeem Woodbine","English",41997790,3.8e+07,39000,"USA",6.4,"alien|left for dead|mercenary|survival|vomiting","Action","Sci-Fi","Thriller",3997790,10.5205
"Switchback ","Jeb Stuart",118,"Gregory Scott Cummins","Claudia Stedelin","Ted Markland","English",6482195,3.7e+07,389,"USA",6.4,"deputy|fbi agent|knife held to throat|serial killer|sheriff","Crime","Mystery","Thriller",-30517805,-82.4805540540541
"Texas Rangers ","Steve Miner",110,"Tom Skerritt","Usher Raymond","Leonor Varela","English",623374,3.8e+07,474,"USA",5.2,"army|mexican|orphan|texas|texas ranger","Action","Adventure","Drama",-37376626,-98.3595421052632
"City of Ember ","Gil Kenan",90,"Bill Murray","Toby Jones","Harry Treadaway","English",7871693,5.5e+07,0,"USA",6.5,"box|food|mayor|pipeworks|scientist","Adventure","Family","Fantasy",-47128307,-85.6878309090909
"The Master ","Paul Thomas Anderson",144,"Mike Howard","Jeffrey W. Jenkins","Bruce Goodchild","English",16377274,3.2e+07,27000,"USA",7.1,"drifter|past life regression|psychological testing|right hand man|scientology","Drama",NA,NA,-15622726,-48.82101875
"Virgin Territory ","David Leland",97,"Hayden Christensen","Ryan Cartwright","David Walliams","English",25517500,3.8e+07,366,"Italy",4.8,"breasts|nude nun|plague|russian nobleman|two word title","Adventure","Comedy","History",-12482500,-32.8486842105263
"The Express ","Gary Fleder",130,"Dennis Quaid","Nicole Beharie","Charles S. Dutton","English",9589875,4e+07,0,"USA",7.3,"african american|coach|football movie|nonlinear timeline|syracuse university","Biography","Drama","Sport",-30410125,-76.0253125
"The 5th Wave ","J Blakeson",112,"Chloë Grace Moretz","Maggie Siff","Nick Robinson","English",34912982,3.8e+07,14000,"USA",5.2,"alien|attack|based on novel|based on young adult novel|fear","Action","Adventure","Sci-Fi",-3087018,-8.12373157894737
"Creed ","Ryan Coogler",133,"Sylvester Stallone","Phylicia Rashad","Graham McTavish","English",109712885,3.5e+07,70000,"USA",7.7,"boxing|boxing match|fight|montage|philadelphia","Drama","Sport",NA,74712885,213.465385714286
"The Town ","Ben Affleck",150,"Jeremy Renner","Jon Hamm","Owen Burke","English",92173235,3.7e+07,29000,"USA",7.6,"bank manager|bank robbery|criminal gang|heist|prison","Crime","Drama","Thriller",55173235,149.116851351351
"What to Expect When You're Expecting ","Kirk Jones",110,"Anna Kendrick","Dennis Quaid","Thomas Lennon","English",41102171,4e+07,14000,"USA",5.7,"baby|expecting twins|hawaiian shirt|photographer|pregnancy","Comedy","Drama","Romance",1102171,2.7554275
"Burn After Reading ","Ethan Coen",96,"J.K. Simmons","Brad Pitt","Kevin Sussman","English",60338891,3.7e+07,0,"USA",7,"cia|divorce|embassy|gym|memoir","Comedy","Drama",NA,23338891,63.0780837837838
"Nim's Island ","Jennifer Flackett",96,"Gerard Butler","Anthony Simcoe","Christopher James Baker","English",48006503,3.7e+07,0,"USA",6,"author|girl|island|reading|scientist","Adventure","Comedy","Family",11006503,29.7473054054054
"Rush ","Ron Howard",123,"Chris Hemsworth","Olivia Wilde","Alexandra Maria Lara","English",26903709,3.8e+07,83000,"UK",8.1,"1970s|female rear nudity|formula 1|rivalry|sex with a nurse","Action","Biography","Drama",-11096291,-29.2007657894737
"Magnolia ","Paul Thomas Anderson",188,"Patton Oswalt","Neil Flynn","Jim Meskimen","English",22450975,3.7e+07,13000,"USA",8,"abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline","Drama",NA,NA,-14549025,-39.3216891891892
"Cop Out ","Kevin Smith",107,"Bruce Willis","Tracy Morgan","Kevin Pollak","English",44867349,3.7e+07,0,"USA",5.6,"baseball card|detective|partner|thief|wedding","Action","Comedy","Crime",7867349,21.2631054054054
"How to Be Single ","Christian Ditter",110,"Alison Brie","Damon Wayans Jr.","Nicholas Braun","English",46813366,3.8e+07,15000,"USA",6.1,"motor scooter|new york city|newborn baby|scooter|single","Comedy","Romance",NA,8813366,23.1930684210526
"Dolphin Tale ","Charles Martin Smith",113,"Morgan Freeman","Michael Roark","Harry Connick Jr.","English",72279690,3.7e+07,0,"USA",6.9,"boy|dolphin|prosthetics|tail|trap","Drama","Family",NA,35279690,95.3505135135135
"Twilight ","Catherine Hardwicke",122,"Kristen Stewart","Taylor Lautner","Anna Kendrick","English",191449475,3.7e+07,19000,"USA",5.2,"blood|high school|love|school|vampire","Drama","Fantasy","Romance",154449475,417.431013513514
"John Q ","Nick Cassavetes",116,"Denzel Washington","Laura Harring","Anne Heche","English",71026631,3.6e+07,0,"USA",7,"health care|heart transplant|hospital|hostage|insurance","Crime","Drama","Thriller",35026631,97.2961972222222
"Blue Streak ","Les Mayfield",93,"Peter Greene","Dave Chappelle","Tamala Jones","English",68208190,6.5e+07,0,"USA",6.3,"detective|diamond|jewel|police|thief","Action","Comedy","Crime",3208190,4.93567692307692
"We're the Millers ","Rawson Marshall Thurber",118,"Laura-Leigh","Molly C. Quinn","Thomas Lennon","English",150368971,3.7e+07,35000,"USA",7,"fake family|male frontal nudity|marijuana|mexico|stripper","Comedy","Crime",NA,113368971,306.402624324324
"Obitaemyy ostrov ","Fedor Bondarchuk",115,"Yuliya Snigir","Fedor Bondarchuk","Aleksey Serebryakov","Russian",25517500,29500000,240,"Russia",5.3,"22nd century|first part|friend|guard|space opera","Action","Adventure","Sci-Fi",-3982500,-13.5
